[TL],skeletal tier,primary POA,secondary POA,tertiary POA,specific C POA,rounding,anteriority,apicality,backness,height,tenseness,manner,voicing,major class,aperture,oral airflow,lateral,nasality,stridency,vocal fold spread,vocal fold constricted
ʎ̥,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,hiɡh,NA,liquid,voiceless,sonorant,contoid,continuant,lateral,oral,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
j,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,glide,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
w,consonant,dorsal,labial,NA,labial-velar,rounded,NA,NA,back,high,NA,glide,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɥ,consonant,dorsal,coronal,labial,labial-palatal,rounded,posterior,laminal,front,high,NA,glide,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɰ,consonant,dorsal,NA,NA,velar,NA,NA,NA,back,high,NA,glide,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
j̥,consonant,dorsal,coronal,NA,palatal,NA,posterior,laminal,front,high,NA,glide,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʍ,consonant,dorsal,labial,NA,labial-velar,rounded,NA,NA,back,high,NA,glide,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɥ̥,consonant,dorsal,coronal,labial,labial-palatal,rounded,posterior,laminal,front,high,NA,glide,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɰ̥,consonant,dorsal,NA,NA,velar,NA,NA,NA,back,high,NA,glide,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
h,consonant,NA,NA,NA,laryngeal,NA,NA,NA,NA,NA,NA,fricative,voiceless,obstruent,contoid,continuant,not lateral,oral,not strident,spread,not constricted
ɦ,consonant,NA,NA,NA,laryngeal,NA,NA,NA,NA,NA,NA,fricative,voiced,obstruent,contoid,continuant,not lateral,oral,not strident,spread,not constricted
ʔ,consonant,NA,NA,NA,laryngeal,NA,NA,NA,NA,NA,NA,oral stop,voiceless,obstruent,contoid,occlusive,not lateral,oral,NA,not spread,constricted
,,,,,,,,,,,,,,,,,,,,,
i,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɪ,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
e,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɛ,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
æ,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,front,low,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
a,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,low,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɑ,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,low,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
o,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɔ,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
u,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʊ,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ĩ,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɪ̃,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ẽ,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɛ̃,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
æ̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,front,low,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ã,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,low,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɑ̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,low,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
õ,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɔ̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ũ,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʊ̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
y,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʏ,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ø,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
œ,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɒ,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,low,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɤ,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʌ,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɯ,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɯ̽,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ỹ,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʏ̃,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ø̃,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
œ̃,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɒ̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,low,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɤ̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʌ̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɯ̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɯ̽̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ə,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɨ,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʉ,vowel,dorsal,labial,NA,NA,rounded,NA,NA,central,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ə̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,mid,lax,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɨ̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʉ̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,central,high,tense,vowel,voiced,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
i̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɪ̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
e̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɛ̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
æ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,front,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ḁ,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɑ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
o̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɔ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
u̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʊ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ĩ̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɪ̥̃,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ẽ̥,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɛ̥̃,vowel,dorsal,labial,coronal,NA,unrounded,anterior,laminal,front,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
æ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,front,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ḁ̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɑ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
õ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɔ̥̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ũ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʊ̥̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
y̥,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʏ̥,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ø̥,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
œ̥,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɒ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɤ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʌ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɯ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɯ̥̽,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ỹ̥,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʏ̥̃,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ø̥̃,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
œ̥̃,vowel,dorsal,labial,coronal,NA,rounded,anterior,laminal,front,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɒ̥̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,back,low,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɤ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʌ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɯ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɯ̥̽̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,back,high,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
,,,,,,,,,,,,,,,,,,,,,
ə̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ɨ̥,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ʉ̥,vowel,dorsal,labial,NA,NA,rounded,NA,NA,central,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,oral,NA,not spread,not constricted
ə̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,mid,lax,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ɨ̥̃,vowel,dorsal,labial,NA,NA,unrounded,NA,NA,central,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
ʉ̥̃,vowel,dorsal,labial,NA,NA,rounded,NA,NA,central,high,tense,vowel,voiceless,sonorant,vocoid,continuant,not lateral,nasal,NA,not spread,not constricted
